City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
34,linxia,35.6003,103.2064,-4.49,34,100,1.04,CN,1675266093
35,barrow,71.2906,-156.7887,-21.99,71,0,11.83,US,1675266094
36,dikson,73.5069,80.5464,-14.62,85,100,4.88,RU,1675266094
37,miraflores,19.2167,-98.8083,16.1,30,0,2.14,MX,1675266095
38,esperance,-33.8667,121.9,15.4,67,40,3.75,AU,1675266095
39,alma,48.5501,-71.6491,-13.44,76,68,3.6,CA,1675265870
40,tual,-5.6667,132.75,28.05,79,98,4.98,ID,1675266096
41,arraial do cabo,-22.9661,-42.0278,31.98,62,40,5.14,BR,1675266096
42,new norfolk,-42.7826,147.0587,10.4,60,91,1.34,AU,1675266098
43,airai,-8.9266,125.4092,16.74,95,100,0.27,TL,1675266098
44,nioro,13.35,-15.75,36.48,7,67,3.85,GM,1675266099
45,bluff,-46.6,168.3333,16.11,97,100,2.33,NZ,1675266099
46,duluth,46.7833,-92.1066,-14.81,77,75,3.6,US,1675265839
47,san pedro de uraba,8.2752,-76.3764,29.19,56,43,1.81,CO,1675266100
48,husavik,66.0449,-17.3389,-4.46,89,100,3.74,IS,1675266101
49,matara,5.9485,80.5353,24.28,78,54,3.92,LK,1675265870
50,beatrice,40.2681,-96.747,-4.9,63,0,3.6,US,1675265905
51,havoysund,70.9963,24.6622,1.13,68,100,8.4,NO,1675266101
52,hermanus,-34.4187,19.2345,23.78,76,44,3.19,ZA,1675266102
53,sao joao da barra,-21.6403,-41.0511,31.05,78,92,5.92,BR,1675266102
54,goundam,16.4145,-3.6708,30.39,4,17,2.4,ML,1675266104
55,hammerfest,70.6634,23.6821,-1.75,86,40,4.63,NO,1675266105
56,busselton,-33.65,115.3333,15.49,61,0,7.46,AU,1675266105
57,kapaa,22.0752,-159.319,19.5,91,0,3.6,US,1675266106
58,campoverde,-8.4753,-74.8058,24.83,52,75,2.06,PE,1675266107
59,upernavik,72.7868,-56.1549,-26.34,99,74,4.64,GL,1675265835
60,torbay,47.6666,-52.7314,-8.01,76,75,7.72,CA,1675266107
61,hobart,-42.8794,147.3294,11.14,76,75,3.6,AU,1675265857
62,ponta do sol,32.6667,-17.1,18.96,47,53,4.95,PT,1675266108
63,avarua,-21.2078,-159.775,27.03,78,75,6.17,CK,1675266109
64,san pedro,14.35,121.0167,25.75,82,20,1.54,PH,1675266109
65,punta arenas,-53.15,-70.9167,14.06,58,75,11.32,CL,1675265802
66,cidreira,-30.1811,-50.2056,27.71,68,1,4.84,BR,1675266110
67,tuktoyaktuk,69.4541,-133.0374,-39.0,67,20,1.03,CA,1675266110
68,santa rosa,14.3122,121.1114,26.17,83,34,4.29,PH,1675265728
69,anori,-3.7728,-61.6442,29.79,63,93,2.21,BR,1675266111
70,chitrakonda,18.1167,82.0833,20.27,51,55,2.09,IN,1675266112
